,name,ons_code,mp,signature_count,Population,PercSigned,party
0,Weston-super-Mare,E14001038,John Penrose MP,5895,0,inf,
1,Bristol West,E14000602,Thangam Debbonaire MP,28081,138885,0.202188861,Labour
2,"Brighton, Pavilion",E14000598,Caroline Lucas MP,21963,112196,0.195755642,Green
3,Hornsey and Wood Green,E14000752,Catherine West MP,24457,128655,0.190097548,Labour
4,Cambridge,E14000617,Daniel Zeichner MP,21500,115902,0.185501544,Labour
5,Edinburgh North and Leith,S14000023,Deidre Brock MP,20894,112642,0.185490314,SNP
6,Islington North,E14000763,Rt Hon Jeremy Corbyn MP,20702,116074,0.178351741,Labour
7,Dulwich and West Norwood,E14000673,Helen Hayes MP,20273,116035,0.174714526,Labour
8,Edinburgh South,S14000024,Ian Murray MP,15246,90972,0.167590028,Labour
9,Richmond Park,E14000896,Zac Goldsmith MP,20710,125093,0.165556826,Conservative
10,Hove,E14000755,Peter Kyle MP,16980,103177,0.164571561,Labour
11,Battersea,E14000549,Marsha De Cordova MP,18342,115715,0.158510133,Labour
12,Wimbledon,E14001040,Stephen Hammond MP,15692,99220,0.158153598,Conservative
13,Twickenham,E14001005,Rt Hon Sir Vince Cable MP,18511,117932,0.156963335,Lib Dem
14,Tooting,E14000998,Dr Rosena Allin-Khan MP,17084,109451,0.156088112,Labour
15,Putney,E14000887,Rt Hon Justine Greening MP,15205,98091,0.155009124,Conservative
16,Vauxhall,E14001008,Kate Hoey MP,18780,122334,0.15351415,Labour
17,Oxford West and Abingdon,E14000874,Layla Moran MP,16831,109678,0.153458305,Lib Dem
18,Hackney North and Stoke Newington,E14000720,Rt Hon Diane Abbott MP,21486,141379,0.15197448,Labour
19,Hackney South and Shoreditch,E14000721,Meg Hillier MP,20303,134550,0.150895578,Labour
20,Islington South and Finsbury,E14000764,Rt Hon Emily Thornberry MP,17858,118926,0.150160604,Labour
21,Hampstead and Kilburn,E14000727,Tulip Siddiq MP,21671,144586,0.149883115,
22,"Lewisham, Deptford",E14000789,Vicky Foxcroft MP,18751,125190,0.149780334,
23,Streatham,E14000978,Chuka Umunna MP,18423,123997,0.148576175,
24,Cities of London and Westminster,E14000639,Rt Hon Mark Field MP,18159,122923,0.147726626,
25,"Manchester, Withington",E14000809,Jeff Smith MP,14808,100773,0.146944122,
26,Bath,E14000547,Wera Hobhouse MP,13770,95024,0.144910759,
27,Glasgow North,S14000031,Patrick Grady MP,11109,78150,0.142149712,
28,Ealing Central and Acton,E14000674,Dr Rupa Huq MP,17350,122419,0.141726366,
29,Hammersmith,E14000726,Andy Slaughter MP,16482,117504,0.140267565,
30,Chelsea and Fulham,E14000629,Rt Hon Greg Hands MP,15071,107789,0.139819462,
31,Kensington,E14000768,Emma Dent Coad MP,15850,113446,0.139714049,
32,Holborn and St Pancras,E14000750,Rt Hon Keir Starmer MP,21333,154210,0.138337332,
33,Edinburgh East,S14000022,Tommy Sheppard MP,14136,104927,0.134722235,
34,South Cambridgeshire,E14000934,Heidi Allen MP,15480,115828,0.133646441,
35,Lewisham West and Penge,E14000788,Ellie Reeves MP,15195,114967,0.132168361,
36,Oxford East,E14000873,Anneliese Dodds MP,16283,123350,0.132006486,
37,Bermondsey and Old Southwark,E14000553,Neil Coyle MP,18909,144175,0.131153113,
38,Camberwell and Peckham,E14000615,Rt Hon Harriet Harman QC MP,17160,131739,0.130257555,
39,St Albans,E14000960,Mrs Anne Main MP,13094,103086,0.127020158,
40,Bethnal Green and Bow,E14000555,Rushanara Ali MP,18272,146820,0.12445171,
41,"Sheffield, Hallam",E14000922,Jared O'Mara MP,11448,92386,0.123914879,
42,Edinburgh South West,S14000025,Joanna Cherry QC MP,13028,105398,0.123607659,
43,Hitchin and Harpenden,E14000749,Bim Afolami MP,12179,103624,0.117530688,
44,South West Surrey,E14000953,Rt Hon Jeremy Hunt MP,12328,106199,0.116083956,
45,"Brighton, Kemptown",E14000597,Lloyd Russell-Moyle MP,11037,95938,0.115043049,
46,Lewes,E14000786,Maria Caulfield MP,10670,92793,0.114987122,
47,Winchester,E14001041,Steve Brine MP,11659,102044,0.114254635,
48,Walthamstow,E14001013,Stella Creasy MP,13305,117946,0.11280586,
49,Glasgow South,S14000034,Stewart Malcolm McDonald MP,9980,88657,0.112568664,
50,Greenwich and Woolwich,E14000718,Matthew Pennycook MP,14501,129210,0.112228156,
51,Esher and Walton,E14000697,Rt Hon Dominic Raab MP,12825,114285,0.112219451,
52,Henley,E14000742,John Howell MP,11103,99228,0.11189382,
53,Finchley and Golders Green,E14000703,Mike Freer MP,14595,130507,0.111833082,
54,East Dunbartonshire,S14000018,Jo Swinson MP,9363,83947,0.111534659,
55,Edinburgh West,S14000026,Christine Jardine MP,10987,99271,0.110676834,
56,Norwich South,E14000864,Clive Lewis MP,11243,103284,0.108855195,
57,Warwick and Leamington,E14001019,Matt Western MP,10787,99849,0.10803313,
58,Bristol North West,E14000600,Darren Jones MP,11395,106013,0.107486818,
59,Brentford and Isleworth,E14000593,Ruth Cadbury MP,14377,134768,0.106679627,
60,South East Cambridgeshire,E14000937,Lucy Frazer MP,12826,120504,0.106436301,
61,Glasgow Central,S14000029,Alison Thewliss MP,10748,101186,0.106220228,
62,Kingston and Surbiton,E14000770,Rt Hon Sir Edward Davey MP,13512,127264,0.106172995,
63,Bristol South,E14000601,Karin Smyth MP,12003,113526,0.105729084,
64,Guildford,E14000719,Rt Hon Anne Milton MP,12028,114435,0.105107703,
65,Leeds North East,E14000779,Fabian Hamilton MP,9641,92604,0.104109974,
66,Chesham and Amersham,E14000631,Rt Hon Dame Cheryl Gillan MP,9828,95355,0.103067485,
67,Westminster North,E14001036,Ms Karen Buck MP,13348,129527,0.103051873,
68,Reading East,E14000889,Matt Rodda MP,11832,115284,0.102633496,
69,Rushcliffe,E14000908,Rt Hon Kenneth Clarke QC MP,10097,98568,0.102436896,
70,Leyton and Wanstead,E14000790,John Cryer MP,11242,110795,0.101466673,
71,York Central,E14001061,Rachael Maskell MP,11184,111937,0.099913344,
72,Chipping Barnet,E14000636,Rt Hon Theresa Villiers MP,11807,118408,0.099714546,
73,Stroud,E14000980,Dr David Drew MP,10410,104822,0.099311213,
74,North Somerset,E14000850,Rt Hon Dr Liam Fox MP,10040,101910,0.0985183,
75,Mole Valley,E14000824,Sir Paul Beresford MP,9575,97219,0.098488978,
76,Leeds North West,E14000780,Alex Sobel MP,8457,86016,0.098318917,
77,Wantage,E14001015,Rt Hon Edward Vaizey MP,11566,117983,0.098031072,
78,Cheltenham,E14000630,Alex Chalk MP,10414,106352,0.097920114,
79,Stirling,S14000057,Stephen Kerr MP,9185,94000,0.097712766,
80,Poplar and Limehouse,E14000882,Jim Fitzpatrick MP,15704,161144,0.09745321,
81,Truro and Falmouth,E14001003,Sarah Newton MP,9286,95669,0.097063835,
82,East Renfrewshire,S14000021,Paul Masterton MP,9125,94760,0.096295905,
83,Cardiff North,W07000051,Anna McMorrin MP,8668,90507,0.095771598,
84,Tunbridge Wells,E14001004,Rt Hon Greg Clark MP,10334,107914,0.09576144,
85,Beckenham,E14000551,Bob Stewart MP,8863,92767,0.09554044,
86,Belfast South,N06000003,Emma Little Pengelly MP,10910,114391,0.095374636,
87,Altrincham and Sale West,E14000532,Sir Graham Brady MP,9665,101457,0.095262032,
88,South West Hertfordshire,E14000951,Rt Hon David Gauke MP,10475,110191,0.09506221,
89,"Enfield, Southgate",E14000692,Bambos Charalambous MP,9714,102509,0.094762411,
90,Wokingham,E14001048,Rt Hon John Redwood MP,10324,109445,0.094330486,
91,Exeter,E14000698,Rt Hon Ben Bradshaw MP,10806,114569,0.094318708,
92,Bristol East,E14000599,Kerry McCarthy MP,9473,100828,0.093952077,
93,Totnes,E14001001,Dr Sarah Wollaston MP,8062,85858,0.093899229,
94,Witney,E14001046,Robert Courts MP,10211,109266,0.093450845,
95,Cardiff Central,W07000050,Jo Stevens MP,8701,93276,0.093282302,
96,"Ross, Skye and Lochaber",S14000055,Rt Hon Ian Blackford MP,6429,69253,0.092833523,
97,North East Fife,S14000049,Stephen Gethins MP,7727,83237,0.092831313,
98,Central Devon,E14000623,Rt Hon Mel Stride MP,8644,93250,0.092697051,
99,Woking,E14001047,Mr Jonathan Lord MP,10024,108197,0.092645822,
100,Sheffield Central,E14000919,Paul Blomfield MP,11995,130085,0.09220894,
101,Arundel and South Downs,E14000534,Rt Hon Nick Herbert MP,9263,100501,0.092168237,
102,Cardiff West,W07000079,Kevin Brennan MP,8589,93312,0.092046039,
103,Kenilworth and Southam,E14000767,Rt Hon Jeremy Wright QC MP,7650,83252,0.091889684,
104,Lewisham East,E14000787,Janet Daby MP,10115,110260,0.091737711,
105,Maidenhead,E14000803,Rt Hon Theresa May MP,9750,106307,0.091715503,Conservative
106,Glasgow North West,S14000033,Carol Monaghan MP,7992,87449,0.09139041,
107,North East Hampshire,E14000844,Mr Ranil Jayawardena MP,9106,100563,0.090550202,
108,Canterbury,E14000619,Rosie Duffield MP,10801,119757,0.09019097,
109,Mid Sussex,E14000817,Rt Hon Sir Nicholas Soames MP,10075,112448,0.089596969,
110,East Lothian,S14000020,Martin Whitfield MP,9389,104840,0.089555513,
